DFT Energy (eV), CHGNet Energy (eV)
-5.398541005714286,-5.398541005714286
-5.3983111685714285,-5.3983111685714285
-5.397939900714285,-5.397939900714285
-5.3976841816666665,-5.3976841816666665
-5.397273643095238,-5.397273643095238
-5.396843468095238,-5.396843468095238
-5.396398767619048,-5.396398767619048
-5.395984929523809,-5.395984929523809
-5.395559480238096,-5.395559480238096
-5.3952233764285715,-5.3952233764285715
-5.394874695714286,-5.394874695714286
-5.394722087619048,-5.394722087619048
-5.39453308,-5.39453308
-5.3942259295238095,-5.3942259295238095
-5.393845013571429,-5.393845013571429
-5.393545021428571,-5.393545021428571
-5.393219405952381,-5.393219405952381
-5.392853207619048,-5.392853207619048
-5.392618880714285,-5.392618880714285
-5.392342097857143,-5.392342097857143
-5.392199304285715,-5.392199304285715
-5.392077519761905,-5.392077519761905
-5.391958388809524,-5.391958388809524
-5.391737522380952,-5.391737522380952
-5.3915815121428565,-5.3915815121428565
-5.391564859285714,-5.391564859285714
-5.391646957619048,-5.391646957619048
-5.3918943171428575,-5.3918943171428575
-5.392130254285714,-5.392130254285714
-5.392383997857142,-5.392383997857142
-5.392518942380953,-5.392518942380953
-5.3926441050000005,-5.3926441050000005
-5.392840953571429,-5.392840953571429
-5.393098424761905,-5.393098424761905
-5.393399961666667,-5.393399961666667
-5.393633184285714,-5.393633184285714
-5.393914538095238,-5.393914538095238
-5.394321546190476,-5.394321546190476
-5.394816688571429,-5.394816688571429
-5.3951673116666665,-5.3951673116666665
-5.395417272857143,-5.395417272857143
-5.395615502142857,-5.395615502142857
-5.395759247380953,-5.395759247380953
-5.395870900714286,-5.395870900714286
-5.395961199285715,-5.395961199285715
-5.396136809761905,-5.396136809761905
-5.396364488333333,-5.396364488333333
-5.396546912619048,-5.396546912619048
-5.3967535883333335,-5.3967535883333335
-5.396918404523809,-5.396918404523809
-5.396947503571429,-5.396947503571429
-5.396902518571428,-5.396902518571428
-5.396863034523809,-5.396863034523809
-5.396816141666666,-5.396816141666666
-5.396880910714286,-5.396880910714286
-5.396980961190476,-5.396980961190476
-5.3969766635714285,-5.3969766635714285
-5.397101555952381,-5.397101555952381
-5.397003408333333,-5.397003408333333
-5.396879723571429,-5.396879723571429
-5.396752776904762,-5.396752776904762
-5.396651090714285,-5.396651090714285
-5.396658342142858,-5.396658342142858
-5.396705962142857,-5.396705962142857
-5.396715211904762,-5.396715211904762
-5.396752135238096,-5.396752135238096
-5.396845811904762,-5.396845811904762
-5.397076155238095,-5.397076155238095
-5.397234840714286,-5.397234840714286
